MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
0,0.9,0.1,1,0,0,1,0,0.587452471,1,0.666666667,0.333333333,0.666666667,0.028571429,0,1,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0.1,0.428571429,0.111111111,24.2,1.08,0.76,19.9
0,0.9,0.1,1,0,0,1,0,0.586311787,1,0.666666667,0.333333333,0.666666667,0.028571429,0,1,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0.1,0.428571429,0.111111111,24.6,1.09,0.773,20.7
0,0.9,0.1,1,0,0,1,0,0.585171103,1,0.666666667,0.333333333,0.666666667,0.028571429,0,1,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0.1,0.428571429,0.111111111,22.8,1.04,0.658,15.6
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,0.114285714,1,0,0,1,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,23.7,0.28,0.55,4.8
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,0.114285714,1,0,0,1,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,24.5,0.29,0.55,4
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,0.114285714,1,0,0,1,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,20.9,0.26,0.5,2.8
1,0,0,1,0,0,1,0,0.570342205,1,0.666666667,0.333333333,0.666666667,0.060714286,0,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0.285714286,0.111111111,22.47,1.07,0.716,17.21
1,0,0,1,0,0,1,0,0.570342205,1,1,0.333333333,0.666666667,0.060714286,0,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0.285714286,0.111111111,22.35,1.1,0.729,17.92
1,0,0,1,0,0,1,0,0.570342205,1,1,0.333333333,0.666666667,0.060714286,0,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0.285714286,0.111111111,22.74,1.17,0.731,19.46
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,0.142857143,0,1,1,0,0.5,0.25,0.25,0.444444444,0,0,0,0.2,0.333333333,24.45,0.238,0.36,2.1
1,0,0,1,0,0,1,0,0.604562738,0,0.333333333,0.333333333,0.666666667,0.064285714,1,0,0,0,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,22.18,1.07,0.75,17.89
1,0,0,0.95,0.05,0,1,0,0.600760456,0,0.333333333,0.333333333,0.666666667,0.064285714,1,0,0,1,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,23.28,1.06,0.68,16.76
