MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated_v,Coated_t,Coated_1v,Coated_1t,Coated_2v,Coated_2t,antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
1,0,0,0.9,0.05,0.05,0.966666667,0.033333333,0.600760456,0,0.333333333,0.333333333,0.666666667,0.064285714,1,0,0,1,1,1,0,0,0.166666667,0.333333333,0.666666667,0.8,0,0.285714286,0.111111111,0.737538462,0.677540778,0.951821387,0.840175369
1,0,0,0,1,0,1,0,0.494296578,0,0.333333333,1,0.333333333,0.096428571,0,1,1,0,0.5,0.5,0.1875,0.333333333,0,0,0,0,0,0.285714286,0.222222222,0.612923077,0.236825596,0.60787309,0.155041849
0,0,1,0,1,0,1,0,0.475285171,0,0.333333333,1,0.333333333,0.096428571,0,1,1,0,0.5,0.5,0.1875,0.333333333,0,0,0,0,0,0.285714286,0.222222222,0.946153846,0.106649937,0.40987074,0.072937425
0,0,1,0,1,0,0,1,0.680608365,0,0.333333333,1,0.333333333,0.096428571,0,1,1,0,0.5,0.5,0.1875,0.333333333,0,0,0,0,0,0.285714286,0.222222222,0.429538462,0.229611041,0.696827262,0.12116381
1,0,0,1,0,0,0.6,0.4,0.684410646,1,1,0.666666667,0.666666667,0.071428571,0,0,0,0,1,1,0,0,0.166666667,0.25,0.666666667,0.9,0.7,0.285714286,0.111111111,0.441230769,0.658720201,0.869565217,0.444001594
1,0,0,0.75,0.25,0,0.6,0.4,0.657794677,1,1,0.666666667,0.666666667,0.071428571,0,0,0,1,1,1,0,0,0.166666667,0.25,0.666666667,0.9,0.7,0.285714286,0.111111111,0.530769231,0.570890841,0.89306698,0.475488242
1,0,0,0.5,0.5,0,0.6,0.4,0.551330798,1,1,0.666666667,0.666666667,0.071428571,0,0,0,1,1,1,0,0,0.166666667,0.25,0.666666667,0.9,0.7,0.285714286,0.111111111,0.185230769,0.357590966,0.799059929,0.093264249
1,0,0,0.25,0.75,0,0.6,0.4,0.513307985,1,1,0.666666667,0.666666667,0.071428571,0,0,0,1,1,1,0,0,0.166666667,0.25,0.666666667,0.9,0.7,0.285714286,0.111111111,0.084923077,0.257214555,0.740305523,0.028298127
1,0,0,0,1,0,0.6,0.4,0.608365019,1,1,0.666666667,0.666666667,0.071428571,0,0,0,0,1,1,0,0,0.166666667,0.25,0.666666667,0.9,0.7,0.285714286,0.111111111,0.031692308,0.094102886,0.599294947,0.002789956
0.25,0.75,0,0,1,0,1,0,0.532319392,1,1,0.666666667,0.333333333,0.075,0,1,0,0,0.5,0.25,0.625,0.555555556,0,0,0,0,0.43414557,0.2,0.111111111,0.541846154,0.288582183,0.481786134,0.13192507
0.25,0.75,0,0,0.95,0.5,1,0,0.532319392,1,1,0.666666667,0.333333333,0.075,0,1,0,0,0.5,0.25,0.625,0.555555556,0,0,0,0,0.43414557,0.2,0.111111111,0.6,0.26348808,0.646298472,0.178557194
0.25,0.75,0,0,0.9,1,1,0,0.539923954,1,1,0.666666667,0.333333333,0.075,0,1,0,0,0.5,0.25,0.625,0.555555556,0,0,0,0,0.43414557,0.2,0.111111111,0.408307692,0.207026349,0.575793184,0.081307294
0.25,0.75,0,0,0.8,0.2,1,0,0.581749049,1,1,0.666666667,0.333333333,0.075,0,1,0,0,0.5,0.25,0.625,0.555555556,0,0,0,0,0.43414557,0.2,0.111111111,0.364307692,0.094102886,0.540540541,0.031885213
1,0,0,0,1,0,1,0,0.494296578,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0,0,0.357142857,0.333333333,0.357846154,0.426599749,0.564042303,0.208449582
1,0,0,0,1,0,0.666666667,0.333333333,0.593155894,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0,0,0.357142857,0.333333333,0.442461538,0.483061481,0.587544066,0.218413711
1,0,0,0,1,0,0.333333333,0.666666667,0.66539924,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0,0,0.357142857,0.333333333,0.378461538,0.514429109,0.669800235,0.22837784
1,0,0,0,1,0,0,1,0.817490494,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0,0,0.357142857,0.333333333,0.254153846,0.552070263,0.693301998,0.130330809
0,0,1,1,0,0,1,0,0.650190114,0,0.333333333,1,0.333333333,0.064285714,0,1,1,0,1,0.75,0,0,0.133333333,0.166666667,0.583333333,0.7,0,0.285714286,0.166666667,0.492923077,0.558343789,0.664982374,0.321642088
0,0,1,0.99,0.01,0,1,0,1,0,0.333333333,1,0.333333333,0.064285714,0,1,1,0,1,0.75,0,0,0.133333333,0.166666667,0.583333333,0.7,0,0.285714286,0.166666667,0.467692308,0.520702635,0.673443008,0.288162615
0,0,1,0.975,0.025,0,1,0,0.661596958,0,0.333333333,1,0.333333333,0.064285714,0,1,1,0,1,0.75,0,0,0.133333333,0.166666667,0.583333333,0.7,0,0.285714286,0.166666667,0.487384615,0.545796738,0.747826087,0.34954165
0,0,1,0.96,0.04,0,1,0,0.593155894,0,0.333333333,1,0.333333333,0.064285714,0,1,1,0,1,0.75,0,0,0.133333333,0.166666667,0.583333333,0.7,0,0.285714286,0.166666667,0.577230769,0.608531995,0.852996475,0.526504583
0,0,1,0.95,0.05,0,1,0,0.600760456,0,0.333333333,1,0.333333333,0.064285714,0,1,1,0,1,0.75,0,0,0.133333333,0.166666667,0.583333333,0.7,0,0.285714286,0.166666667,0.533846154,0.583437892,0.776380729,0.424870466
0,0,1,1,0,0,1,0,0.66539924,0,0.333333333,0,1,0.044642857,0,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0,0,0.314285714,0.111111111,0.414153846,0.445420326,0.540540541,0.177361499
0,0,1,1,0,0,1,0,0.66539924,0,0.333333333,0,1,0.044642857,0,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0,0,0.314285714,0.111111111,0.413230769,0.407779172,0.44653349,0.132323635
0,0,1,0.96,0.04,0,1,0,0.676806084,0,0.333333333,0,1,0.044642857,0,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0,0,0.314285714,0.111111111,0.450461538,0.457967378,0.211515864,0.206456756
0,0,1,0.96,0.04,0,1,0,0.676806084,0,0.333333333,0,1,0.044642857,0,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0,0,0.314285714,0.111111111,0.450769231,0.457967378,0.587544066,0.211638103
0.16,0.79,0.05,1,0,0,0.826666667,0.173333333,0.6121673,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0,0,0.285714286,0.333333333,0.609846154,0.439146801,0.819623972,0.386209645
0.16,0.79,0.05,1,0,0,0.826666667,0.173333333,0.6121673,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0,0,0.285714286,0.333333333,0.609230769,0.439146801,0.611398355,0.287365484
0.16,0.79,0.05,0.916,0.16,0,0.826666667,0.173333333,0.585551331,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0,0,0.285714286,0.333333333,0.68,0.420326223,0.826204465,0.414906337
0.16,0.79,0.05,0.916,0.16,0,0.826666667,0.173333333,0.585551331,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0,0,0.285714286,0.333333333,0.668307692,0.414052698,0.728789659,0.353527302
0.16,0.79,0.05,0.832,0.168,0,0.826666667,0.173333333,0.558935361,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0,0,0.285714286,0.333333333,0.762769231,0.445420326,0.848178613,0.504184934
0.16,0.79,0.05,0.832,0.168,0,0.826666667,0.173333333,0.558935361,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0,0,0.285714286,0.333333333,0.750153846,0.439146801,0.778378378,0.449182941
0.16,0.79,0.05,0.748,0.252,0,0.826666667,0.173333333,0.536121673,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0,0,0.285714286,0.333333333,0.775384615,0.476787955,0.87132785,0.562375448
0.16,0.79,0.05,0.748,0.252,0,0.826666667,0.173333333,0.536121673,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0,0,0.285714286,0.333333333,0.766769231,0.470514429,0.823619271,0.517337585
