,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
755,0.02899956703186035,0.04650517801211726,0.0025942325592041016,0.0008057516077099666,friedman_mse,7,sqrt,7,15,"{'criterion': 'friedman_mse', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.03332758350232822,-0.01783508612027166,-0.019950297741067585,-0.02430700441116163,-0.01969002342026432,-0.023021999039018685,0.005573110190034213,1289
777,0.005198621749877929,0.0007488675817160812,0.003601551055908203,0.0004924151675257886,friedman_mse,7,log2,10,10,"{'criterion': 'friedman_mse', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10}",-0.03034946947281072,-0.01852449777906717,-0.019597792592663615,-0.029510593124373465,-0.017129705047660808,-0.023022411603315158,0.005700272119165334,1290
637,0.050998353958129884,0.04875354898829431,0.0034447669982910155,0.0010207334922797615,absolute_error,18,sqrt,10,10,"{'criterion': 'absolute_error', 'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10}",-0.04016335042979182,-0.018977617706215633,-0.020637956702213803,-0.022642460492617474,-0.012786190902777677,-0.023041515246723283,0.009173663597811837,1291
381,0.03173055648803711,0.002543517827156659,0.0026015281677246095,0.0004883483145896079,absolute_error,7,sqrt,2,10,"{'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10}",-0.034567733319606234,-0.02372968202105919,-0.020886071572347877,-0.01714450841078632,-0.01890514678607459,-0.023046628421974844,0.006162098943523857,1292
1106,0.029979133605957033,0.04908596534074601,0.0028162479400634767,0.00022692626753469418,poisson,7,sqrt,3,13,"{'criterion': 'poisson', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 13}",-0.03109028787406322,-0.015082351539964615,-0.021550734591907338,-0.019878490145194862,-0.02771955052142699,-0.023064282934511404,0.005696307657853629,1293
1072,0.005116605758666992,0.0006304224124663894,0.0030200958251953127,0.0007067216600071776,friedman_mse,20,log2,7,7,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 7}",-0.03219034525092515,-0.027410289380188878,-0.015556249724727012,-0.025151557574830053,-0.015028433368312923,-0.0230673750597968,0.00674499657489399,1294
1311,0.009085798263549804,0.006120464881901279,0.002901172637939453,0.0001935257925728072,poisson,15,log2,5,15,"{'criterion': 'poisson', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 15}",-0.033754540575477776,-0.025721872837493005,-0.020244694758767008,-0.02239651778069214,-0.013234268455394093,-0.023070378881564803,0.006728586466129808,1295
651,0.09290966987609864,0.08063153727463414,0.038502979278564456,0.07150842015987537,absolute_error,18,log2,5,15,"{'criterion': 'absolute_error', 'max_depth': 18, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 15}",-0.027919184461979336,-0.023211213238298112,-0.01740864865188509,-0.024209250481512734,-0.022649392514305165,-0.02307953786959609,0.0033781586011803044,1296
58,0.024880599975585938,0.03976756640523171,0.0024023056030273438,0.0004887281966955162,squared_error,7,log2,10,13,"{'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 13}",-0.029702187899741002,-0.023989837886760138,-0.02059964392076759,-0.025611094953697896,-0.015525738364657518,-0.023085700605124833,0.00478134901204239,1297
1135,0.005419397354125976,0.0003803766683693654,0.00424647331237793,0.0029740495675204598,poisson,7,log2,7,15,"{'criterion': 'poisson', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.02724855295008338,-0.02740730995440982,-0.021410619814211846,-0.021342005411775545,-0.01804685572248257,-0.02309106877059263,0.0036672013651414623,1298
