MA,FA,Cs,Pb,Sn,Other,I,Br,Po,ETL,HTL,Ne,Add_O,Add_I,Add_H,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,Antisolvent,Anneal_T,Anneal_t,Gap
0,0,1,0,1,0,1,0,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,0.494296578
0,0,1,0,1,0,0.333333333,0.666666667,0,0.333333333,0,1,0,1,0,0.5,0.75,0.375,0.222222222,0,0,0,0.714285714,0.044444444,0.619771863
0.05,0.95,0,1,0,0,0.95,0.05,0,0.666666667,0.333333333,0.333333333,0,0,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.584410646
0.15,0.85,0,1,0,0,0.85,0.15,0,0.333333333,0.333333333,0.333333333,1,0,0,0.5,0.75,0.75,0.333333333,0,0,1,0.285714286,0.666666667,0.608745247
0,0,1,1,0,0,0,1,0,0.333333333,0,1,1,0,0,1,1,0.25,0.333333333,0.333333333,0.166666667,1,0.714285714,0.055555556,0.870722433
0,0,1,1,0,0,0,1,0,0.333333333,0,1,1,0,0,1,0.25,0.25,0.333333333,0.333333333,0.166666667,1,0.714285714,0.055555556,0.882129278
0.05,0.95,0,1,0,0,0.95,0.05,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.592395437
0.05,0.95,0,1,0,0,0.95,0.05,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.592395437
0,1,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.587452471
0,1,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.587452471
1,0,0,1,0,0,1,0,1,1,1,0.666666667,0,0,0,0.5,0.75,0.5,0.222222222,0,0,1,0.285714286,0.022222222,0.615209125
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,0,1,0.5,0.75,0.5,0.666666667,0,0,0,0.185714286,0.222222222,0.524714829
0,1,0,1,0,0,1,0,1,0.666666667,0.333333333,0.333333333,1,0,1,0.5,0.25,0.5,0.333333333,0,0,0,0.428571429,0.111111111,0.585551331
